val_loss,val_acc,step,train_loss,train_acc
0.16935281455516815,0.9459999799728394,0.0,,
,,0.0,0.31303051114082336,0.9124833345413208
0.12710091471672058,0.9581999778747559,1.0,,
,,1.0,0.12742139399051666,0.9622833132743835
0.10676898062229156,0.9657999873161316,2.0,,
,,2.0,0.08188521862030029,0.9754166603088379
0.08501720428466797,0.9728999733924866,3.0,,
,,3.0,0.05699479207396507,0.9834499955177307
0.07900456339120865,0.9753999710083008,4.0,,
,,4.0,0.04083593934774399,0.9889333248138428
0.0741901695728302,0.9776999950408936,5.0,,
,,5.0,0.029427561908960342,0.9923666715621948
0.07545724511146545,0.9768999814987183,6.0,,
,,6.0,0.021187806501984596,0.9950166940689087
0.07753685861825943,0.9771000146865845,7.0,,
,,7.0,0.015117183327674866,0.996916651725769
0.08034060895442963,0.9775000214576721,8.0,,
,,8.0,0.010628911666572094,0.9979666471481323
0.07593987137079239,0.9793999791145325,9.0,,
,,9.0,0.007988553494215012,0.9986000061035156
